feature,importance,cumulative
rolling_mean_7,0.21748202,0.21748205
sales_original,0.20682846,0.42431054
rolling_max_7,0.13513078,0.5594413
day_sin,0.083309434,0.64275074
rolling_min_14,0.05486066,0.6976114
day_cos,0.05403687,0.7516483
weekday_sin,0.04518183,0.7968301
day_of_year,0.037073407,0.83390355
lag_1,0.023486096,0.8573896
rolling_mean_14,0.016860783,0.8742504
month,0.016676502,0.8909269
rolling_std_7,0.013977649,0.90490454
month_sin,0.01375124,0.9186558
rolling_min_7,0.01172861,0.9303844
rolling_max_28,0.011411143,0.9417955
week_of_year,0.011379028,0.95317453
weekday,0.009337345,0.9625119
lag_14,0.007831808,0.9703437
lag_28,0.0052922433,0.97563595
rolling_mean_28,0.004128737,0.9797647
rolling_std_28,0.003945148,0.9837099
lag_7,0.0036308884,0.98734075
lag_21,0.0027642564,0.99010503
weekday_cos,0.0025952272,0.9927003
rolling_std_14,0.002394725,0.995095
rolling_min_28,0.0014907761,0.9965858
day_of_month,0.0014197704,0.99800557
expanding_mean,0.0009975707,0.9990031
rolling_max_14,0.0008492386,0.99985236
month_cos,0.00014770956,1.0000001
is_weekend,0.0,1.0000001
